episode,epsilon,total_reward
149.0,0.3350950316772257,9.0
150.0,0.33499499833277757,-9.0
151.0,0.33489496498832944,8.0
152.0,0.33479493164388124,-10.0
153.0,0.3346948982994331,-3.0
154.0,0.33459486495498497,-10.0
155.0,0.33449483161053684,8.0
156.0,0.3343947982660887,10.0
157.0,0.3342947649216405,7.0
158.0,0.33419473157719237,-8.0
159.0,0.33409469823274424,-10.0
160.0,0.3339946648882961,-4.0
161.0,0.3338946315438479,8.0
162.0,0.3337945981993998,8.0
163.0,0.33369456485495164,-11.0
164.0,0.3335945315105035,-8.0
165.0,0.3334944981660553,8.0
166.0,0.3333944648216072,9.0
167.0,0.33329443147715904,8.0
168.0,0.3331943981327109,-10.0
169.0,0.3330943647882627,9.0
170.0,0.3329943314438146,-4.0
171.0,0.33289429809936644,-9.0
172.0,0.3327942647549183,-8.0
173.0,0.3326942314104701,9.0
174.0,0.332594198066022,-10.0
175.0,0.33249416472157384,8.0
176.0,0.3323941313771257,-9.0
177.0,0.3322940980326775,8.0
178.0,0.3321940646882294,9.0
179.0,0.33209403134378124,10.0
180.0,0.3319939979993331,8.0
181.0,0.3318939646548849,10.0
182.0,0.3317939313104368,-5.0
183.0,0.33169389796598864,-8.0
184.0,0.3315938646215405,-9.0
185.0,0.3314938312770923,-3.0
186.0,0.33139379793264423,10.0
187.0,0.33129376458819604,-10.0
188.0,0.3311937312437479,-8.0
189.0,0.3310936978992997,10.0
190.0,0.33099366455485163,-10.0
191.0,0.33089363121040344,8.0
192.0,0.3307935978659553,9.0
193.0,0.3306935645215071,8.0
194.0,0.33059353117705903,10.0
195.0,0.33049349783261084,-9.0
196.0,0.3303934644881627,9.0
197.0,0.3302934311437145,-3.0
198.0,0.33019339779926643,7.0
199.0,0.33009336445481824,-8.0
200.0,0.3299933311103701,10.0
201.0,0.32989329776592197,-8.0
202.0,0.32979326442147383,8.0
203.0,0.32969323107702564,8.0
204.0,0.3295931977325775,-8.0
205.0,0.32949316438812937,-10.0
206.0,0.32939313104368123,-9.0
207.0,0.32929309769923304,-8.0
208.0,0.3291930643547849,-10.0
209.0,0.32909303101033677,-9.0
210.0,0.32899299766588863,8.0
211.0,0.32889296432144044,-10.0
212.0,0.3287929309769923,8.0
213.0,0.32869289763254417,-10.0
214.0,0.32859286428809603,-8.0
215.0,0.32849283094364784,-10.0
216.0,0.3283927975991997,8.0
217.0,0.32829276425475157,-10.0
218.0,0.32819273091030343,7.0
219.0,0.32809269756585524,9.0
220.0,0.3279926642214071,-10.0
221.0,0.32789263087695897,7.0
222.0,0.32779259753251083,7.0
223.0,0.32769256418806264,-11.0
224.0,0.3275925308436145,-10.0
225.0,0.32749249749916637,8.0
226.0,0.32739246415471823,-11.0
227.0,0.32729243081027004,8.0
228.0,0.3271923974658219,9.0
229.0,0.32709236412137377,8.0
230.0,0.32699233077692563,-8.0
231.0,0.3268922974324775,8.0
